"","months_as_customer","age","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital.gains","capital.loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year","fraud_reported"
"1",328,48,"OH","250/500",1000,1406.91,0,"MALE","MD","craft-repair","sleeping","husband",53300,0,"Single Vehicle Collision","Side Collision","Major Damage","Police","SC","Columbus",5,1,"YES",1,2,"YES",71610,6510,13020,52080,"Saab","92x",2004,"Y"
"2",228,42,"IN","250/500",2000,1197.22,5000000,"MALE","MD","machine-op-inspct","reading","other-relative",0,0,"Vehicle Theft","?","Minor Damage","Police","VA","Riverwood",8,1,"?",0,0,"?",5070,780,780,3510,"Mercedes","E400",2007,"Y"
"3",134,29,"OH","100/300",2000,1413.14,5000000,"FEMALE","PhD","sales","board-games","own-child",35100,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Columbus",7,3,"NO",2,3,"NO",34650,7700,3850,23100,"Dodge","RAM",2007,"N"
"5",228,44,"IL","500/1000",1000,1583.91,6000000,"MALE","Associate","sales","board-games","unmarried",66000,-46000,"Vehicle Theft","?","Minor Damage","None","NY","Arlington",20,1,"NO",0,1,"NO",6500,1300,650,4550,"Accura","RSX",2009,"N"
"6",256,39,"OH","250/500",1000,1351.1,0,"FEMALE","PhD","tech-support","bungie-jumping","unmarried",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC","Arlington",19,3,"NO",0,2,"NO",64100,6410,6410,51280,"Saab","95",2003,"Y"
"7",137,34,"IN","250/500",1000,1333.35,0,"MALE","PhD","prof-specialty","board-games","husband",0,-77000,"Multi-vehicle Collision","Front Collision","Minor Damage","Police","NY","Springfield",0,3,"?",0,0,"?",78650,21450,7150,50050,"Nissan","Pathfinder",2012,"N"
"8",165,37,"IL","100/300",1000,1137.03,0,"MALE","Associate","tech-support","base-jumping","unmarried",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","VA","Columbus",23,3,"?",2,2,"YES",51590,9380,9380,32830,"Audi","A5",2015,"N"
"9",27,33,"IL","100/300",500,1442.99,0,"FEMALE","PhD","other-service","golf","own-child",0,0,"Single Vehicle Collision","Front Collision","Total Loss","Police","WV","Arlington",21,1,"NO",1,1,"YES",27700,2770,2770,22160,"Toyota","Camry",2012,"N"
"10",212,42,"IL","100/300",500,1315.68,0,"MALE","PhD","priv-house-serv","camping","wife",0,-39300,"Single Vehicle Collision","Rear Collision","Total Loss","Other","NC","Hillsdale",14,1,"NO",2,1,"?",42300,4700,4700,32900,"Saab","92x",1996,"N"
"12",447,61,"OH","100/300",2000,1137.16,0,"FEMALE","High School","exec-managerial","skydiving","other-relative",0,-51000,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC","Springfield",21,3,"YES",1,2,"YES",114920,17680,17680,79560,"Audi","A3",2006,"N"
"13",60,23,"OH","500/1000",500,1215.36,3000000,"MALE","MD","protective-serv","reading","wife",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","SC","Northbend",9,1,"YES",1,0,"NO",56520,4710,9420,42390,"Saab","95",2000,"N"
"14",121,34,"OH","100/300",1000,936.61,0,"FEMALE","MD","armed-forces","bungie-jumping","wife",52800,-32800,"Parked Car","?","Minor Damage","None","SC","Springfield",5,1,"NO",1,1,"NO",7280,1120,1120,5040,"Toyota","Highlander",2010,"N"
"15",180,38,"OH","250/500",2000,1301.13,0,"FEMALE","College","machine-op-inspct","board-games","not-in-family",41300,-55500,"Single Vehicle Collision","Rear Collision","Total Loss","Police","SC","Springfield",12,1,"NO",0,2,"YES",46200,4200,8400,33600,"Dodge","Neon",2003,"Y"
"20",196,39,"IN","500/1000",2000,1475.73,0,"FEMALE","High School","handlers-cleaners","camping","own-child",57000,-27300,"Multi-vehicle Collision","Side Collision","Major Damage","Police","VA","Columbus",8,3,"?",2,0,"NO",60400,6040,6040,48320,"Nissan","Pathfinder",2014,"N"
"21",460,62,"IN","250/500",1000,1187.96,4000000,"MALE","JD","other-service","bungie-jumping","own-child",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Columbus",20,3,"NO",1,0,"?",47160,0,5240,41920,"Suburu","Impreza",2011,"N"
"23",370,55,"IL","100/300",2000,972.18,0,"MALE","High School","prof-specialty","paintball","other-relative",72700,-68200,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","SC","Hillsdale",20,3,"NO",0,0,"YES",71520,17880,5960,47680,"Suburu","Forrestor",2000,"Y"
"24",413,55,"IN","100/300",2000,1268.79,0,"MALE","MD","priv-house-serv","chess","own-child",0,-31000,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV","Northbend",15,1,"?",2,2,"?",98160,8180,16360,73620,"Dodge","RAM",2011,"Y"
"25",237,40,"IN","100/300",1000,883.31,0,"MALE","College","craft-repair","kayaking","husband",0,-53500,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","VA","Riverwood",6,1,"NO",1,3,"NO",77880,7080,14160,56640,"Ford","Escape",2005,"N"
"27",257,43,"IN","100/300",2000,1322.1,0,"MALE","High School","prof-specialty","golf","own-child",0,-29200,"Parked Car","?","Minor Damage","Police","PA","Arlington",4,1,"YES",1,3,"YES",9020,1640,820,6560,"Toyota","Camry",2005,"N"
"29",224,40,"OH","100/300",2000,1291.7,0,"FEMALE","JD","sales","kayaking","not-in-family",0,-55600,"Single Vehicle Collision","Side Collision","Minor Damage","Other","SC","Northbend",21,1,"NO",1,0,"YES",69840,7760,15520,46560,"Dodge","Neon",2009,"N"
